t,V,theta,vX,vY ,X,Y
0.0,40000.0,12.000000000000002,39125.90402935223,8316.467632710373,-5071492000.0,0.0
2125.2560681999157,40010.41316956516,11.99684654014128,39136.54742994732,8316.478657628912,-4988328312.011197,17674623.30240591
4250.512136399831,40021.18426531898,11.993619839832418,39147.55169400012,8316.512872845457,-4905141630.172221,35349293.466361865
6375.768204599747,40032.33201349484,11.990317868186452,39158.93544657205,8316.572679288429,-4821931168.42551,53024062.20096095
8501.024272799663,40043.87646426047,11.98693857680008,39170.71861162396,8316.660732164673,-4738696099.808069,70698986.5729286
10626.28034099958,40055.839110206274,11.983479909491493,39182.922526651426,8316.779971429023,-4655435553.5753,88374129.57734679
12751.536409199494,40068.24301771274,11.979939814343968,39195.57006960097,8316.933656431675,-4572148612.068923,106049560.7772547
14876.79247739941,40081.11297284865,11.97631625851571,39208.68579961816,8317.12540539564,-4488834307.301352,123725357.02164185
17002.048545599326,40094.47564369705,11.972607246370082,39222.29611340502,8317.359240491496,-4405491617.225359,141401603.25284824
19127.304613799242,40108.35976129146,11.968810841594463,39236.42941922757,8317.639639414376,-4322119461.653856,159078393.41614825
21252.56068199916,40122.79632168005,11.964925194115281,39251.116330921795,8317.971594533517,-4238716697.7899375,176755831.48637936
23377.816750199072,40137.81881202878,11.960948572786885,39266.38988460712,8318.360680883927,-4155282115.322032,194434032.628942
25503.07281839899,40153.463464137654,11.956879405041093,39282.28578123901,8318.813134510543,-4071814431.032808,212113124.51542765
27628.328886598905,40169.76953929095,11.952716324941283,39298.84265863053,8319.335942967364,-3988312282.863349,229793248.8176214
29753.58495479882,40186.77964900994,11.948458231402366,39316.10239715975,8319.9369501294,-3904774223.365831,247474562.90779775
31878.841022998735,40204.54011704482,11.944104358731021,39334.11046407502,8320.6249779094,-3821198712.4682827,265157241.79822782
34004.09709119865,40223.101388858384,11.939654362128957,39352.91630213441,8321.40996800336,-3737584109.4637885,282841480.3588332
36129.35315939857,40242.51849594706,11.935108421410913,39372.573769296454,8322.303147443628,-3653928664.123334,300527495.85918456
38254.609227598485,40262.85158365463,11.930467366950982,39393.14163734911,8323.317222547279,-3570230506.8160963,318215530.88984084
40379.8652957984,40284.166512708915,11.9257328328281,39414.68415876349,8324.466606850936,-3486487637.502864,335905856.7287275
42505.12136399832,40306.53554660946,11.92090744334851,39437.27171273834,8325.767689873459,-3402697913.446906,353598777.23131585
44630.37743219823,40330.038139291435,11.915995040651628,39460.98154342166,8327.239155112391,-3318859035.461372,371294633.3393802
46755.633500398144,40354.76184027809,11.911000963049649,39485.898605734525,8328.902357646963,-3234968532.4823427,388993808.32282495
48880.88956859806,40380.803337929945,11.905932386234857,39512.1165371731,8330.781774205028,-3151023744.2210445,406696733.8934478
51006.14563679798,40408.26966554755,11.90079874267617,39539.738777546634,8332.905541705462,-3067021801.606244,424403897.359782
53131.401704997894,40437.27960017353,11.895612238637808,39568.87986296837,8335.306104312347,-2982959604.6770034,442115850.0299403
55256.65777319781,40467.965290200766,11.890388493582789,39599.66692573515,8338.020994200671,-2898833797.52495,459833217.1167692
57381.91384139773,40500.47415562438,11.885147333669691,39632.24143823781,8341.093777894126,-2814640739.8117747,477556709.45934683
59507.16990959764,40534.97111435208,11.879913780153016,39666.76124701988,8344.575208677743,-2730376474.2989917,495287137.4505573
61632.42597779755,40571.641199887665,11.874719285492674,39703.402952895965,8348.524636868124,-2646036689.719642,513025427.6569328
63757.68204599747,40610.69265053455,11.86960328588075,39742.36470508256,8353.01174453792,-2561616678.1913342,530772642.74059826
65882.93811419739,40652.36056879812,11.864615160106391,39783.86949210553,8358.118690870984,-2477111286.2114606,548530005.4525815
68008.1941823973,40696.91127287082,11.859816713155826,39828.16903045566,8363.942780374151,-2392514858.082193,566298927.6736157
70133.45025059722,40744.64749117884,11.855285341422803,39875.54837429635,8370.599801064329,-2307821170.376925,584081045.7487156
72258.70631879714,40795.91458746387,11.851118088749509,39926.33139679981,8378.228226812926,-2223023355.771648,601878263.7169857
74383.96238699705,40851.10804959825,11.84743687421798,39980.88732673526,8386.994541959059,-2138113814.212906,619692806.5083116
76509.21845519697,40910.68253243445,11.84439527151248,40039.63856346065,8397.100033765959,-2053084108.9653254,637527285.8055018
78634.47452339689,40975.16281583965,11.842187357052687,40103.07003974718,8408.789518813046,-1967924844.5618536,655384782.1123973
80759.7305915968,41045.15712596109,11.841059336255396,40171.74045409936,8422.362636654356,-1882625523.0544877,673268947.7076484
82884.98665979672,41121.37337224314,11.841324927869605,40246.295749377394,8438.188577714656,-1797174374.2214003,691184136.7166572
