t,V,theta,vX,vY,X,Y
546341.585,40000.0,51.79999999999987,24736.335814302238,31434.27572701602,-15071492000.0,0.0
546341.7105957667,40000.00866322032,51.799984230294655,24736.3498234701,31434.27572680196,-15070870644.011835,789602.3919091935
546341.8361915334,40000.017326821544,51.799968458916666,24736.363833793137,31434.275726159733,-15070249287.671755,1579204.783807633
546341.9617873,40000.02599080369,51.79995268586569,24736.377845271454,31434.275725089232,-15069627930.979734,2368807.175684562
546342.0873830667,40000.03465516671,51.79993691114153,24736.391857905153,31434.275723590352,-15069006573.935743,3158409.5675292215
546342.2129788334,40000.04331991061,51.799921134743975,24736.405871694344,31434.275721662987,-15068385216.539751,3948011.9593308493
546342.3385745999,40000.05198503536,51.7999053566728,24736.419886639123,31434.27571930703,-15067763858.79173,4737614.351078681
546342.4641703666,40000.06065054094,51.799889576927804,24736.4339027396,31434.275716522374,-15067142500.691652,5527216.742761949
546342.5897661333,40000.06931642733,51.79987379550877,24736.44791999588,31434.275713308914,-15066521142.239485,6316819.134369885
546342.7153619,40000.07798269452,51.799858012415505,24736.46193840806,31434.275709666545,-15065899783.435202,7106421.525891714
546342.8409576666,40000.08664934249,51.79984222764778,24736.475957976254,31434.27570559516,-15065278424.278774,7896023.917316662
546342.9665534333,40000.09531637122,51.79982644120541,24736.48997870056,31434.27570109465,-15064657064.770174,8685626.308633953
546343.0921492,40000.1039837807,51.79981065308816,24736.504000581084,31434.275696164914,-15064035704.909369,9475228.699832805
546343.2177449666,40000.1126515709,51.79979486329584,24736.51802361793,31434.275690805844,-15063414344.696331,10264831.090902433
546343.3433407333,40000.1213197418,51.79977907182822,24736.5320478112,31434.275685017332,-15062792984.131033,11054433.481832054
546343.4689365,40000.129988293396,51.79976327868509,24736.546073161004,31434.275678799273,-15062171623.213444,11844035.872610878
546343.5945322666,40000.13865722567,51.79974748386626,24736.560099667444,31434.27567215156,-15061550261.943537,12633638.263228115
546343.7201280333,40000.14732653859,51.79973168737151,24736.574127330623,31434.27566507409,-15060928900.32128,13423240.653672969
546343.8457238,40000.15599623214,51.79971588920064,24736.588156150647,31434.27565756675,-15060307538.346643,14212843.043934643
546343.9713195666,40000.164666306315,51.799700089353415,24736.602186127617,31434.275649629442,-15059686176.019604,15002445.434002342
546344.0969153333,40000.17333676109,51.79968428782965,24736.61621726164,31434.275641262055,-15059064813.340126,15792047.82386526
546344.2225111,40000.18200759644,51.79966848462912,24736.630249552818,31434.275632464483,-15058443450.308184,16581650.213512596
546344.3481068667,40000.19067881235,51.79965267975162,24736.64428300126,31434.27562323662,-15057822086.923748,17371252.602933537
546344.4737026333,40000.19935040882,51.79963687319693,24736.658317607067,31434.27561357836,-15057200723.186789,18160854.99211728
546344.5992984,40000.20802238581,51.79962106496487,24736.672353370344,31434.275603489597,-15056579359.097279,18950457.38105301
546344.7248941667,40000.21669474331,51.79960525505519,24736.686390291197,31434.275592970225,-15055957994.655188,19740059.76972991
546344.8504899333,40000.2253674813,51.7995894434677,24736.700428369728,31434.275582020135,-15055336629.860485,20529662.158137165
546344.9760857,40000.23404059976,51.7995736302022,24736.71446760604,31434.27557063922,-15054715264.713144,21319264.546263948
546345.1016814667,40000.24271409868,51.79955781525845,24736.728508000244,31434.275558827376,-15054093899.213135,22108866.934099443
546345.2272772333,40000.25138797802,51.79954199863628,24736.742549552437,31434.275546584497,-15053472533.36043,22898469.321632825
546345.352873,40000.260062237794,51.79952618033545,24736.756592262725,31434.275533910477,-15052851167.154997,23688071.70885326
546345.4784687667,40000.26873687797,51.79951036035575,24736.770636131216,31434.275520805208,-15052229800.596807,24477674.095749915
546345.6040645334,40000.277411898525,51.799494538696976,24736.784681158013,31434.275507268583,-15051608433.685835,25267276.48231196
546345.7296603,40000.28608729944,51.79947871535892,24736.79872734322,31434.275493300494,-15050987066.422049,26056878.86852856
546345.8552560667,40000.2947630807,51.799462890341374,24736.81277468694,31434.275478900836,-15050365698.805418,26846481.254388873
546345.9808518334,40000.30343924229,51.799447063644116,24736.82682318928,31434.275464069502,-15049744330.835917,27636083.639882058
546346.1064476,40000.31211578419,51.79943123526695,24736.840872850342,31434.275448806387,-15049122962.513514,28425686.02499727
546346.2320433666,40000.32079270638,51.79941540520966,24736.85492367023,31434.275433111383,-15048501593.83818,29215288.40972366
546346.3576391333,40000.32947000884,51.79939957347202,24736.868975649053,31434.275416984383,-15047880224.809889,30004890.794050384
546346.4832348999,40000.33814769155,51.79938374005385,24736.88302878691,31434.275400425282,-15047258855.428608,30794493.177966587
546346.6088306666,40000.346825754496,51.79936790495491,24736.897083083906,31434.27538343397,-15046637485.694311,31584095.56146141
546346.7344264333,40000.355504197665,51.79935206817502,24736.91113854015,31434.275366010344,-15046016115.606968,32373697.944523998
546346.8600222,40000.364183021025,51.79933622971393,24736.92519515574,31434.275348154293,-15045394745.166548,33163300.327143487
546346.9856179666,40000.372862224576,51.79932038957146,24736.939252930788,31434.275329865715,-15044773374.373024,33952902.70930901
546347.1112137333,40000.38154180828,51.79930454774739,24736.953311865393,31434.275311144498,-15044152003.226366,34742505.09100971
546347.2368095,40000.39022177213,51.79928870424151,24736.96737195966,31434.27529199054,-15043530631.726543,35532107.47223472
546347.3624052666,40000.39890211611,51.79927285905361,24736.981433213696,31434.27527240373,-15042909259.87353,36321709.852973156
546347.4880010333,40000.40758284019,51.799257012183475,24736.9954956276,31434.275252383966,-15042287887.667294,37111312.23321415
546347.6135968,40000.41626394437,51.799241163630896,24737.009559201484,31434.275231931137,-15041666515.10781,37900914.61294682
546347.7391925666,40000.42494542861,51.79922531339567,24737.02362393545,31434.275211045137,-15041045142.195044,38690516.992160305
546347.8647883333,40000.4336272929,51.79920946147757,24737.037689829598,31434.275189725857,-15040423768.928968,39480119.37084371
546347.9903841,40000.442309537226,51.799193607876404,24737.051756884037,31434.275167973192,-15039802395.309557,40269721.74898614
546348.1159798667,40000.45099216157,51.79917775259194,24737.06582509887,31434.275145787036,-15039181021.336779,41059324.12657673
546348.2415756333,40000.459675165905,51.79916189562398,24737.079894474206,31434.27512316728,-15038559647.010603,41848926.50360457
546348.3671714,40000.46835855021,51.79914603697232,24737.093965010143,31434.27510011382,-15037938272.331003,42638528.88005877
546348.4927671667,40000.47704231449,51.79913017663673,24737.108036706788,31434.275076626545,-15037316897.297947,43428131.25592845
546348.6183629333,40000.4857264587,51.79911431461702,24737.122109564243,31434.27505270535,-15036695521.911407,44217733.63120269
546348.7439587,40000.494410982836,51.799098450912965,24737.136183582617,31434.275028350126,-15036074146.171356,45007336.0058706
